Address,Parcel ID,Contractor Name,Price,Projected Demolished By Date,Commercial Building,Council_District,Latitude,Longitude,Location,Neighborhood
12751 Meyers,22020554.,Rickman Enterprise Group,$13047.82,11/19/2017,No,7,42.382778,-83.168802,"location
(42.382778, -83.168802)",Grand River-I96
2933 Harding,21039838.,Rickman Enterprise Group,$18721.27,11/06/2017,No,5,42.371806,-82.982823,"location
(42.371806, -82.982823)",East Village
3730 French Rd,21040061.,Rickman Enterprise Group,$15279.24,11/06/2017,No,4,42.376935,-82.984727,"location
(42.376935, -82.984727)",East Canfield
9703 Lakepointe,21065024.,Homrich,$16654.00,11/26/2017,No,4,42.410687,-82.958675,"location
(42.410687, -82.958675)",Outer Drive-Hayes
2522 Montclair,21040601.,Rickman Enterprise Group,$16447.77,11/06/2017,No,4,42.370068,-82.978974,"location
(42.370068, -82.978974)",East Village
2500 Dickerson,21048983.,DMC Consultants,$17622.00,12/19/2017,No,4,42.377718,-82.957065,"location
(42.377718, -82.957065)",Riverbend
11016 E Vernor,21042109.002L,Rickman Enterprise Group,$15475.37,11/06/2017,No,4,42.370396,-82.976445,"location
(42.370396, -82.976445)",East Village
2931 Garland,21038294.,Rickman Enterprise Group,$21237.91,11/06/2017,No,5,42.370488,-82.984811,"location
(42.370488, -82.984811)",East Village
2925 Garland,21038295.,Rickman Enterprise Group,$19047.70,11/06/2017,No,5,42.370415,-82.984759,"location
(42.370415, -82.984759)",East Village
6019 Harrell,21036857.,"Adamo Group, Inc.",$29233.00,11/13/2017,No,4,42.397423,-82.982397,"location
(42.397423, -82.982397)",Chandler Park
3480 Dickerson,21049038.,DMC Consultants,$29576.00,12/19/2017,No,4,42.383377,-82.960735,"location
(42.383377, -82.960735)",Riverbend
258 Philip,21059916.,Rickman Enterprise Group,$25179.61,11/06/2017,No,4,42.363026,-82.934769,"location
(42.363026, -82.934769)",Jefferson Chalmers
9528 Chalmers,21055511-12,Homrich,$18145.00,11/26/2017,No,4,42.409881,-82.967418,"location
(42.409881, -82.967418)",Outer Drive-Hayes
2919 Lakeview,21052624.001,DMC Consultants,$14935.50,12/19/2017,No,4,42.381581,-82.955429,"location
(42.381581, -82.955429)",Riverbend
19961 Annott,21035575.,Gayanga Co,$12114.06,11/19/2017,No,3,42.443095,-83.002916,"location
(42.443095, -83.002916)",Conner Creek
2225 Newport,21054178.,DMC Consultants,$14063.00,12/19/2017,No,4,42.379376,-82.951564,"location
(42.379376, -82.951564)",Riverbend
2588 Lakewood,21054571.,DMC Consultants,$19482.00,12/19/2017,No,4,42.381401,-82.950552,"location
(42.381401, -82.950552)",Riverbend
19140 Waltham,21032646.,Gayanga Co,$15882.32,11/19/2017,No,3,42.435383,-82.994538,"location
(42.435383, -82.994538)",Pulaski
2516 Algonquin,21046871.,DMC Consultants,$27759.38,12/19/2017,No,4,42.376724,-82.960362,"location
(42.376724, -82.960362)",Riverbend
2670 Algonquin,21046891.001,DMC Consultants,$13109.50,12/19/2017,No,4,42.378619,-82.961601,"location
(42.378619, -82.961601)",Riverbend
5325 Garland,21038089.,"Adamo Group, Inc.",$11523.00,11/13/2017,No,4,42.38751,-82.996596,"location
(42.38751, -82.996596)",West End
4723 Garland,21038159.,"Adamo Group, Inc.",$16231.00,11/13/2017,No,4,42.381694,-82.99257,"location
(42.381694, -82.99257)",West End
4703 Garland,21038162.,"Adamo Group, Inc.",$12909.00,11/13/2017,No,4,42.381472,-82.992424,"location
(42.381472, -82.992424)",West End
11801 Olga,21036577.,"Adamo Group, Inc.",$13876.00,11/13/2017,No,4,42.394686,-82.98386,"location
(42.394686, -82.98386)",Chandler Park
2913 Bewick,21037603.,Rickman Enterprise Group,$21515.26,11/06/2017,No,5,42.369819,-82.985806,"location
(42.369819, -82.985806)",East Village
2615 Bewick,21037609.,Rickman Enterprise Group,$15676.80,11/06/2017,No,5,42.369142,-82.985297,"location
(42.369142, -82.985297)",East Village
4561 Garland,21038164.,"Adamo Group, Inc.",$12173.00,11/13/2017,No,4,42.381324,-82.992327,"location
(42.381324, -82.992327)",West End
4501 Garland,21038173.,"Adamo Group, Inc.",$10313.00,11/13/2017,No,4,42.380658,-82.991886,"location
(42.380658, -82.991886)",West End
3515 Dickerson,21049262.,DMC Consultants,$29840.20,12/19/2017,No,4,42.383591,-82.961623,"location
(42.383591, -82.961623)",Riverbend
3467 Dickerson,21049269-70,DMC Consultants,$32615.00,12/19/2017,No,4,42.382964,-82.961215,"location
(42.382964, -82.961215)",Riverbend
6025 Malcolm,21036634.,"Adamo Group, Inc.",$10235.00,11/13/2017,No,4,42.39641,-82.985659,"location
(42.39641, -82.985659)",Chandler Park
2942 Garland,21037753.,Rickman Enterprise Group,$22897.61,11/06/2017,No,5,42.370866,-82.984247,"location
(42.370866, -82.984247)",East Village
2960 Garland,21037756.,Rickman Enterprise Group,$13605.00,11/06/2017,No,5,42.371084,-82.984404,"location
(42.371084, -82.984404)",East Village
2520 Lenox,21049660.,DMC Consultants,$17637.75,12/19/2017,No,4,42.378315,-82.956218,"location
(42.378315, -82.956218)",Riverbend
4510 28th St,14010972.,Rickman Enterprise Group,$38700.00,11/19/2017,Yes,6,42.338833,-83.109791,"location
(42.338833, -83.109791)",Chadsey Condon
3232 W Warren,12000708.,Rickman Enterprise Group,$44560.00,11/19/2017,Yes,6,42.346296,-83.098061,"location
(42.346296, -83.098061)",Chadsey Condon
9931 Southfield,22074371-2,Rickman Enterprise Group,$31860.00,11/09/2017,Yes,7,42.36814,-83.217159,"location
(42.36814, -83.217159)",Franklin Park
4101 W Warren,14001118-21,Rickman Enterprise Group,$42100.00,11/19/2017,Yes,6,42.344472,-83.109585,"location
(42.344472, -83.109585)",Chadsey Condon
12003 Winthrop,22052505.,"Adamo Group, Inc.",$17634.00,11/13/2017,No,7,42.374841,-83.199195,"location
(42.374841, -83.199195)",Plymouth-I96
11325 Winthrop,22052539.,"Adamo Group, Inc.",$18411.00,11/13/2017,No,7,42.370575,-83.199001,"location
(42.370575, -83.199001)",Joy Community
15418 Mark Twain,22036773.,Able Demolition,$14421.29,10/03/2017,No,1,42.40403,-83.186328,"location
(42.40403, -83.186328)",Bethune Community
15716 Mark Twain,22036791.,Able Demolition,$13938.00,10/03/2017,No,1,42.405927,-83.186408,"location
(42.405927, -83.186408)",Bethune Community
14854 Lesure,22032610.,Salenbien Trucking & Excavating Inc.,$9644.00,12/19/2017,No,2,42.398063,-83.180738,"location
(42.398063, -83.180738)",Bethune Community
15776 Lesure,22032684.,DMC Consultants,$15531.90,10/29/2017,No,2,42.407144,-83.18114,"location
(42.407144, -83.18114)",Bethune Community
7291 Winthrop,22052672.,Blue Star,$17699.00,11/14/2017,No,7,42.345047,-83.197889,"location
(42.345047, -83.197889)",Warren Ave Community
15819 Lesure,22033173.,DMC Consultants,$14492.80,10/29/2017,No,2,42.407814,-83.181803,"location
(42.407814, -83.181803)",Bethune Community
12040 Mansfield,22057094.,Blue Star,$22400.00,11/14/2017,No,7,42.375297,-83.203329,"location
(42.375297, -83.203329)",Plymouth-I96
11696 Woodmont,22062594.,Able Demolition,$12382.60,10/09/2017,No,7,42.373907,-83.208124,"location
(42.373907, -83.208124)",Plymouth-I96
11691 WOODMONT,22062960.,Gayanga Co,$9823.67,09/22/2017,No,7,42.373784,-83.208791,"location
(42.373784, -83.208791)",Plymouth-I96
11751 Littlefield,22027453.,"Adamo Group, Inc.",$26704.00,11/13/2017,No,7,42.37523,-83.175977,"location
(42.37523, -83.175977)",Pride Area Community
6800 Rosemont,22076107.,Blue Star,$13600.00,11/14/2017,No,7,42.341207,-83.217965,"location
(42.341207, -83.217965)",Warrendale
11720 Winthrop,22051683.,"Adamo Group, Inc.",$15024.00,11/13/2017,No,7,42.374372,-83.198468,"location
(42.374372, -83.198468)",Plymouth-I96
12263 Ward,22025353.,"Adamo Group, Inc.",$25388.00,11/13/2017,No,7,42.378403,-83.17363,"location
(42.378403, -83.17363)",Pride Area Community
15480 Freeland,22035653.,Able Demolition,$11211.00,09/26/2017,No,1,42.404922,-83.185344,"location
(42.404922, -83.185344)",Bethune Community
15831 Marlowe,22041214.,Able Demolition,$15811.55,10/06/2017,No,1,42.407709,-83.1907,"location
(42.407709, -83.1907)",Belmont
12093 Ward,22025364.,"Adamo Group, Inc.",$12909.00,11/13/2017,No,7,42.376873,-83.173573,"location
(42.376873, -83.173573)",Pride Area Community
15774 Freeland,22035672.,Able Demolition,$13165.35,09/27/2017,No,1,42.406913,-83.185444,"location
(42.406913, -83.185444)",Bethune Community
15845 Snowden,22028219.,DMC Consultants,$17863.10,10/29/2017,No,2,42.408255,-83.17757,"location
(42.408255, -83.17757)",Bethune Community
9940 Prest,22048484.,"Adamo Group, Inc.",$11293.00,11/13/2017,No,7,42.368599,-83.195986,"location
(42.368599, -83.195986)",Plymouth-Hubbell
11708 Hartwell,22028521.,"Adamo Group, Inc.",$11577.00,11/13/2017,No,7,42.374647,-83.176486,"location
(42.374647, -83.176486)",Pride Area Community
15774 Lauder,22041961.,Able Demolition,$12322.00,10/06/2017,No,1,42.407022,-83.191251,"location
(42.407022, -83.191251)",Belmont
9575 Cheyenne,22026357.,"Adamo Group, Inc.",$16102.00,11/13/2017,No,7,42.366994,-83.174457,"location
(42.366994, -83.174457)",Barton-McFarland
14863 Lesure,22033250.,DMC Consultants,$16948.00,10/29/2017,No,2,42.398143,-83.18138,"location
(42.398143, -83.18138)",Bethune Community
14890 Stansbury,22033363.,DMC Consultants,$14577.70,10/29/2017,No,2,42.398516,-83.181812,"location
(42.398516, -83.181812)",Bethune Community
11675 Lauder,22042581.,"Adamo Group, Inc.",$12196.00,11/13/2017,No,7,42.373918,-83.190274,"location
(42.373918, -83.190274)",Plymouth-Hubbell
14837 Stansbury,22034006.,DMC Consultants,$15614.00,10/29/2017,No,2,42.397731,-83.182425,"location
(42.397731, -83.182425)",Bethune Community
9585 Lauder,22042635.,"Adamo Group, Inc.",$17727.00,11/13/2017,No,7,42.366766,-83.19001,"location
(42.366766, -83.19001)",Plymouth-Hubbell
14004 Ardmore,22034526.,Rickman Enterprise Group,$13623.48,11/19/2017,No,7,42.389422,-83.18369,"location
(42.389422, -83.18369)",Grand River-I96
12134 Rutherford,22055836.,"Adamo Group, Inc.",$12405.00,11/13/2017,No,7,42.376609,-83.202168,"location
(42.376609, -83.202168)",Plymouth-I96
11738 Littlefield,22026631.,"Adamo Group, Inc.",$13291.00,11/13/2017,No,7,42.375081,-83.175285,"location
(42.375081, -83.175285)",Pride Area Community
15809 Ardmore,22035186.,Able Demolition,$13739.03,10/24/2017,No,1,42.407536,-83.185033,"location
(42.407536, -83.185033)",Bethune Community
14898 Littlefield,22026752.,"Adamo Group, Inc.",$13995.00,11/13/2017,No,2,42.398759,-83.17541,"location
(42.398759, -83.17541)",Bethune Community
3215 Tuxedo,12003511.,DMC Consultants,$25230.00,10/31/2017,No,5,42.381241,-83.121342,"location
(42.381241, -83.121342)",Dexter-Linwood
2516 Elmhurst,10003355.,DMC Consultants,$21213.00,10/31/2017,No,5,42.385194,-83.115048,"location
(42.385194, -83.115048)",Dexter-Linwood
19716 Yacama,09023047.,Homrich,$14455.00,11/26/2017,No,3,42.438986,-83.096865,"location
(42.438986, -83.096865)",Nolan
6177 16th St,10006235.,DMC Consultants,$19056.13,10/31/2017,No,5,42.359336,-83.096111,"location
(42.359336, -83.096111)",NW Goldberg
14637 Washburn,16039817.,"Adamo Group, Inc.",$11331.00,11/13/2017,No,7,42.397223,-83.160795,"location
(42.397223, -83.160795)",Bethune Community
6195 Townsend,17012197.,Blue Star,$15801.00,11/14/2017,No,5,42.38461,-83.022736,"location
(42.38461, -83.022736)",Gratiot Town/Ketterring
4309 Belvidere,19007869.,Homrich,$14075.00,11/26/2017,No,5,42.376517,-82.998982,"location
(42.376517, -82.998982)",Gratiot Woods
5620 16th St,10006147.,DMC Consultants,$25944.20,10/31/2017,No,5,42.353995,-83.09163,"location
(42.353995, -83.09163)",NW Goldberg
1054 Annin,01007359.,Salenbien Trucking & Excavating Inc.,$15097.00,12/19/2017,No,2,42.436345,-83.11524,"location
(42.436345, -83.11524)",Penrose
2311 Elmhurst,08003541.,DMC Consultants,$26696.00,10/31/2017,No,5,42.385994,-83.111326,"location
(42.385994, -83.111326)",Dexter-Linwood
1051 W Lantz,01007484.,Homrich,$14895.00,11/26/2017,No,2,42.436682,-83.115164,"location
(42.436682, -83.115164)",Penrose
15567 Normandy,08010674.,Homrich,$28154.00,11/26/2017,No,2,42.406328,-83.126587,"location
(42.406328, -83.126587)",Pilgrim Village
4717 Pennsylvania,19005953.,"Adamo Group, Inc.",$11975.00,11/13/2017,No,4,42.379826,-82.996943,"location
(42.379826, -82.996943)",West End
11256 Elmdale,21007268.,Rickman Enterprise Group,$12023.09,11/06/2017,No,4,42.402152,-82.990572,"location
(42.402152, -82.990572)",Wade
3715 Martin,18011191.,Blue Star,$22500.00,11/14/2017,No,6,42.326061,-83.124146,"location
(42.326061, -83.124146)",Claytown
5051 Holcomb,19008639.,"Adamo Group, Inc.",$19640.00,11/13/2017,No,5,42.380578,-83.003171,"location
(42.380578, -83.003171)",Gratiot Woods
4515 Holcomb,19008680.,Homrich,$13983.00,11/26/2017,No,5,42.376495,-83.000223,"location
(42.376495, -83.000223)",Gratiot Woods
5185 Belvidere,19007801.,"Adamo Group, Inc.",$40420.00,11/13/2017,No,5,42.382589,-83.003272,"location
(42.382589, -83.003272)",Gratiot Woods
5127 Belvidere,19007810.,"Adamo Group, Inc.",$13773.00,11/13/2017,No,5,42.381934,-83.002808,"location
(42.381934, -83.002808)",Gratiot Woods
5075 Belvidere,19007819.,"Adamo Group, Inc.",$12443.00,11/13/2017,No,5,42.381277,-83.002344,"location
(42.381277, -83.002344)",Gratiot Woods
6409 Crane,19010013.,Blue Star,$14600.00,11/14/2017,No,3,42.389769,-83.012933,"location
(42.389769, -83.012933)",Airport Sub
5829 Cadillac,19005216.,"Adamo Group, Inc.",$13950.00,11/13/2017,No,4,42.388952,-83.001694,"location
(42.388952, -83.001694)",West End
4539 Belvidere,19007862.,Homrich,$14409.00,11/26/2017,No,5,42.377197,-82.999492,"location
(42.377197, -82.999492)",Gratiot Woods
4533 Belvidere,19007863.,Homrich,$14898.00,11/26/2017,No,5,42.377124,-82.999441,"location
(42.377124, -82.999441)",Gratiot Woods
12219 Rosemary,21009692.,"Adamo Group, Inc.",$29261.00,11/13/2017,No,4,42.410455,-82.987804,"location
(42.410455, -82.987804)",Eden Gardens
14725 Rosemary,21009811.,Homrich,$18960.00,11/26/2017,No,4,42.416095,-82.969208,"location
(42.416095, -82.969208)",Outer Drive-Hayes
14257 Chelsea,21008263.,Homrich,$14205.00,11/26/2017,No,4,42.411858,-82.971119,"location
(42.411858, -82.971119)",Outer Drive-Hayes
14275 Chelsea,21008266.,Homrich,$16373.00,11/26/2017,No,4,42.411962,-82.970817,"location
(42.411962, -82.970817)",Outer Drive-Hayes
14200 Wilshire,21008349.,Homrich,$15347.00,11/26/2017,No,4,42.411964,-82.972266,"location
(42.411964, -82.972266)",Outer Drive-Hayes
5127 Cadillac,19005280.,"Adamo Group, Inc.",$41763.00,11/13/2017,No,4,42.383765,-82.998202,"location
(42.383765, -82.998202)",West End
4521 Cadillac,19005321.,"Adamo Group, Inc.",$16686.00,11/13/2017,No,4,42.379527,-82.99531,"location
(42.379527, -82.99531)",West End
4497 Cadillac,19005325.,"Adamo Group, Inc.",$25910.00,11/13/2017,No,4,42.379232,-82.995113,"location
(42.379232, -82.995113)",West End
4449 Cadillac,19005333.,"Adamo Group, Inc.",$14406.00,11/13/2017,No,4,42.378642,-82.994718,"location
(42.378642, -82.994718)",West End
4811 Springwells,20005411.,DMC Consultants,$14375.90,10/31/2017,No,6,42.330652,-83.139921,"location
(42.330652, -83.139921)",Claytown
13015 Hampshire,21005599.,"Adamo Group, Inc.",$19537.00,11/13/2017,No,4,42.403861,-82.97381,"location
(42.403861, -82.97381)",Outer Drive-Hayes
12239 Promenade,21009025.,Den-Man Contractors,$13345.00,09/27/2017,No,4,42.408826,-82.986307,"location
(42.408826, -82.986307)",Wade
13003 Kilbourne,21010126.,"Adamo Group, Inc.",$15376.00,11/13/2017,No,4,42.414209,-82.980472,"location
(42.414209, -82.980472)",Eden Gardens
14247 Wilfred,21011151.,"Adamo Group, Inc.",$12837.00,11/13/2017,No,4,42.417994,-82.975255,"location
(42.417994, -82.975255)",Eden Gardens
17133 Hoover,17014125-7,Gayanga Co,$12538.80,11/19/2017,No,3,42.420506,-83.004449,"location
(42.420506, -83.004449)",Von Steuben
12758 Camden,21005746.,"Adamo Group, Inc.",$14288.00,11/13/2017,No,4,42.40358,-82.975884,"location
(42.40358, -82.975884)",Ravendale
14465 Camden,21006003.,Homrich,$18452.00,11/26/2017,No,4,42.407856,-82.964987,"location
(42.407856, -82.964987)",Outer Drive-Hayes
4174 Cadillac,19005022.,"Adamo Group, Inc.",$13472.00,11/13/2017,No,4,42.376835,-82.992668,"location
(42.376835, -82.992668)",West End
10327 Sterritt,19002094.,"Adamo Group, Inc.",$19830.00,11/13/2017,No,3,42.395534,-83.001749,"location
(42.395534, -83.001749)",Airport Sub
5161 Rohns,19009420.,"Adamo Group, Inc.",$11358.00,11/13/2017,No,5,42.381606,-83.005192,"location
(42.381606, -83.005192)",Gratiot Woods
3742 Rolfs Pl,19009526.,Homrich,$15995.00,11/26/2017,No,5,42.371106,-82.99785,"location
(42.371106, -82.99785)",Gratiot Woods
14453 Kilbourne,21010184.,"Adamo Group, Inc.",$14645.00,11/13/2017,No,4,42.416943,-82.971174,"location
(42.416943, -82.971174)",Outer Drive-Hayes
14557 Lannette,21010275.,Homrich,$17921.00,11/26/2017,No,4,42.417704,-82.971028,"location
(42.417704, -82.971028)",Outer Drive-Hayes
14819 Lannette,21010293.,Homrich,$12194.00,11/26/2017,No,4,42.417696,-82.968098,"location
(42.417696, -82.968098)",Outer Drive-Hayes
14903 Lannette,21010298.,Homrich,$14389.00,11/26/2017,No,4,42.417723,-82.96709,"location
(42.417723, -82.96709)",Outer Drive-Hayes
14200 Loretto,21012227.,"Adamo Group, Inc.",$10655.00,11/13/2017,No,4,42.419845,-82.977392,"location
(42.419845, -82.977392)",Eden Gardens
12588 Glenfield,21010501.,"Adamo Group, Inc.",$23051.00,11/13/2017,No,4,42.413171,-82.984808,"location
(42.413171, -82.984808)",Eden Gardens
13025 Maiden,21006691.,"Adamo Group, Inc.",$12675.00,11/13/2017,No,4,42.406154,-82.974892,"location
(42.406154, -82.974892)",Outer Drive-Hayes
14539 Ilene,16040822.,"Adamo Group, Inc.",$17801.00,11/13/2017,No,7,42.395822,-83.161796,"location
(42.395822, -83.161796)",Bethune Community
13035 Elmdale,21007402.,"Adamo Group, Inc.",$11922.00,11/13/2017,No,4,42.407873,-82.975797,"location
(42.407873, -82.975797)",Outer Drive-Hayes
14291 Elmdale,21007448.001,"Adamo Group, Inc.",$20283.00,11/13/2017,No,4,42.410102,-82.969279,"location
(42.410102, -82.969279)",Outer Drive-Hayes
12266 Glenfield,21010522-3,"Adamo Group, Inc.",$11773.00,11/13/2017,No,4,42.412109,-82.987873,"location
(42.412109, -82.987873)",Eden Gardens
13381 Flanders,21011602.,"Adamo Group, Inc.",$16200.00,11/13/2017,No,4,42.418033,-82.977892,"location
(42.418033, -82.977892)",Eden Gardens
14310 Jane,21011687.,"Adamo Group, Inc.",$10229.00,11/13/2017,No,4,42.419572,-82.975006,"location
(42.419572, -82.975006)",Eden Gardens
12833 Loretto,21012376.,"Adamo Group, Inc.",$13297.00,11/13/2017,No,4,42.418145,-82.983697,"location
(42.418145, -82.983697)",Eden Gardens
5114 Mcclellan,19006846.,Homrich,$15778.00,11/26/2017,No,4,42.38208,-83.000861,"location
(42.38208, -83.000861)",West End
5138 Mcclellan,19006850.,Homrich,$14443.00,11/26/2017,No,4,42.382372,-83.001067,"location
(42.382372, -83.001067)",West End
5368 Holcomb,19008328.,"Adamo Group, Inc.",$12711.00,11/13/2017,No,5,42.383478,-83.004506,"location
(42.383478, -83.004506)",Gratiot Woods
19358 Algonac,17015674.,Gayanga Co,$12070.69,11/19/2017,No,3,42.437194,-83.009863,"location
(42.437194, -83.009863)",Pulaski
8855 E Canfield,19001167.,Homrich,$14736.00,11/26/2017,No,5,42.375534,-83.001011,"location
(42.375534, -83.001011)",Gratiot Woods
6409 Iroquois,17007294-5,Blue Star,$17200.00,11/14/2017,No,3,42.388195,-83.016782,"location
(42.388195, -83.016782)",Airport Sub
19224 Gruebner,17016014.,Gayanga Co,$10827.39,11/19/2017,No,3,42.436116,-83.011979,"location
(42.436116, -83.011979)",Pulaski
19171 Blackmoor,17016159.,Gayanga Co,$18787.93,11/19/2017,No,3,42.435288,-83.013598,"location
(42.435288, -83.013598)",Pulaski
5054 Holcomb,19008294.,"Adamo Group, Inc.",$12238.00,11/13/2017,No,5,42.380883,-83.002645,"location
(42.380883, -83.002645)",Gratiot Woods
15125 Birwood,16042546.,"Adamo Group, Inc.",$11486.00,11/13/2017,No,2,42.401933,-83.164251,"location
(42.401933, -83.164251)",Bethune Community
14901 Birwood,16042574.,"Adamo Group, Inc.",$11527.00,11/13/2017,No,2,42.399351,-83.164123,"location
(42.399351, -83.164123)",Bethune Community
4186 Belvidere,19007532.,Rickman Enterprise Group,$25953.48,11/06/2017,No,5,42.375324,-82.997418,"location
(42.375324, -82.997418)",Gratiot Woods
4262 Belvidere,19007545.,Rickman Enterprise Group,$35621.02,11/06/2017,No,5,42.376247,-82.998068,"location
(42.376247, -82.998068)",Gratiot Woods
5106 Belvidere,19007610.,"Adamo Group, Inc.",$24507.00,11/13/2017,No,5,42.381943,-83.002063,"location
(42.381943, -83.002063)",Gratiot Woods
12880 August,21012796.,"Adamo Group, Inc.",$14227.00,11/13/2017,No,4,42.419389,-82.983782,"location
(42.419389, -82.983782)",Eden Gardens
5724 Rohns,19009157.,"Adamo Group, Inc.",$13068.00,11/13/2017,No,5,42.384898,-83.006828,"location
(42.384898, -83.006828)",Gratiot Woods
5820 Rohns,19009172.,"Adamo Group, Inc.",$17261.00,11/13/2017,No,5,42.386058,-83.007669,"location
(42.386058, -83.007669)",Gratiot Woods
3804 Rohns,19009011.,Homrich,$29202.00,11/26/2017,No,5,42.372173,-82.997616,"location
(42.372173, -82.997616)",Gratiot Woods
4150 Rohns,19009034.,Homrich,$27220.00,11/26/2017,No,5,42.374073,-82.998998,"location
(42.374073, -82.998998)",Gratiot Woods
4768 Rohns,19009083.,Homrich,$14275.00,11/26/2017,No,5,42.378521,-83.002209,"location
(42.378521, -83.002209)",Gratiot Woods
11030 Findlay,21013019.,Gayanga Co,$16362.11,11/19/2017,No,4,42.411496,-83.005113,"location
(42.411496, -83.005113)",Gratiot-Findlay
4739 Mcclellan,19007171.,Homrich,$14442.00,11/26/2017,No,5,42.379138,-82.999516,"location
(42.379138, -82.999516)",Gratiot Woods
6145 Maxwell,17008503.,Blue Star,$16901.00,11/14/2017,No,5,42.386232,-83.017865,"location
(42.386232, -83.017865)",Gratiot Town/Ketterring
14336 E Warren,21002457.,Smalley,$20960.00,10/02/2017,Yes,4,42.395014,-82.959179,"location
(42.395014, -82.959179)",Fox Creek
14332 E Warren,21002458.,Smalley,$18960.00,10/02/2017,Yes,4,42.394972,-82.959295,"location
(42.394972, -82.959295)",Fox Creek
5428 Michigan Ave,16001734.,Rickman Enterprise Group,$51120.00,11/19/2017,Yes,6,42.331486,-83.110254,"location
(42.331486, -83.110254)",Chadsey Condon
