Address,Parcel ID,Contractor Name,Price,Projected Demolished By Date,Commercial Building,Council_District,Latitude,Longitude,Location,Neighborhood
11340 Maiden,21006544.,Rickman Enterprise Group,$15455.31,11/06/2017,No,4,42.400647,-82.989465,"location
(42.400647, -82.989465)",Wade
11293 Maiden,21006570.,Rickman Enterprise Group,$13584.34,11/06/2017,No,4,42.400778,-82.990524,"location
(42.400778, -82.990524)",Wade
13011 Wilfred,21011107.,"Adamo Group, Inc.",$18586.00,11/13/2017,No,4,42.415857,-82.981363,"location
(42.415857, -82.981363)",Eden Gardens
15473 Freeland,22036201.,Able Demolition,$13540.16,09/26/2017,No,1,42.404813,-83.185913,"location
(42.404813, -83.185913)",Bethune Community
15459 Freeland,22036203.,Able Demolition,$13751.15,09/26/2017,No,1,42.404621,-83.185906,"location
(42.404621, -83.185906)",Bethune Community
15379 Freeland,22036213.,Able Demolition,$14215.75,09/25/2017,No,1,42.403466,-83.185855,"location
(42.403466, -83.185855)",Bethune Community
15365 Freeland,22036216.,Able Demolition,$14387.45,09/25/2017,No,1,42.403166,-83.185842,"location
(42.403166, -83.185842)",Bethune Community
14543 Freeland,22036278.,Able Demolition,$12850.03,11/01/2017,No,1,42.395328,-83.185514,"location
(42.395328, -83.185514)",Bethune Community
4723 Pennsylvania,19005952.,"Adamo Group, Inc.",$17410.00,11/13/2017,No,4,42.3799,-82.996992,"location
(42.3799, -82.996992)",West End
15041 Tracey,22031912.,DMC Consultants,$15063.40,10/29/2017,No,2,42.400477,-83.180426,"location
(42.400477, -83.180426)",Bethune Community
15019 Tracey,22031915.,DMC Consultants,$15063.90,10/29/2017,No,2,42.40018,-83.180412,"location
(42.40018, -83.180412)",Bethune Community
14076 Ardmore,22034535.,Rickman Enterprise Group,$15070.43,11/19/2017,No,7,42.39041,-83.183733,"location
(42.39041, -83.183733)",Grand River-I96
11071 Longview,21007664.,Rickman Enterprise Group,$24916.08,11/06/2017,No,4,42.40362,-82.991507,"location
(42.40362, -82.991507)",Wade
11855 Longview,21007685.,Rickman Enterprise Group,$17380.24,11/06/2017,No,4,42.404656,-82.988481,"location
(42.404656, -82.988481)",Wade
12007 Longview,21007687.,Rickman Enterprise Group,$14254.72,11/06/2017,No,4,42.40482,-82.988004,"location
(42.40482, -82.988004)",Wade
12283 Longview,21007717.,Rickman Enterprise Group,$12109.18,11/06/2017,No,4,42.406267,-82.983852,"location
(42.406267, -82.983852)",Wade
12583 Longview,21007737.,"Adamo Group, Inc.",$12527.00,11/13/2017,No,4,42.407256,-82.981034,"location
(42.407256, -82.981034)",Wade
12591 Longview,21007738.,"Adamo Group, Inc.",$11023.00,11/13/2017,No,4,42.407303,-82.9809,"location
(42.407303, -82.9809)",Wade
11738 Woodmont,22062600.,Able Demolition,$15215.65,10/09/2017,No,7,42.374482,-83.208138,"location
(42.374482, -83.208138)",Plymouth-I96
12038 Woodmont,22062606.,Able Demolition,$15230.80,10/10/2017,No,7,42.375221,-83.208169,"location
(42.375221, -83.208169)",Plymouth-I96
12074 Woodmont,22062611.,Able Demolition,$12660.35,10/10/2017,No,7,42.375701,-83.20819,"location
(42.375701, -83.20819)",Plymouth-I96
12102 Woodmont,22062615.,Able Demolition,$14104.65,10/10/2017,No,7,42.376085,-83.208206,"location
(42.376085, -83.208206)",Plymouth-I96
12108 Woodmont,22062616.,Able Demolition,$13670.35,10/10/2017,No,7,42.376181,-83.20821,"location
(42.376181, -83.20821)",Plymouth-I96
12153 Woodmont,22062931.,Gayanga Co,$11593.67,11/09/2017,No,7,42.376749,-83.208905,"location
(42.376749, -83.208905)",Plymouth-I96
12325 Maiden,21006641.,"Adamo Group, Inc.",$10152.00,11/13/2017,No,4,42.403875,-82.981511,"location
(42.403875, -82.981511)",Wade
9330 Winthrop,22051599.,"Adamo Group, Inc.",$15384.00,10/25/2017,No,7,42.363984,-83.197948,"location
(42.363984, -83.197948)",Joy Community
5793 Belvidere,19007754.,Rickman Enterprise Group,$17030.44,11/19/2017,No,5,42.386349,-83.005961,"location
(42.386349, -83.005961)",Gratiot Woods
5405 Belvidere,19007783.,"Adamo Group, Inc.",$17671.00,11/13/2017,No,5,42.384106,-83.004342,"location
(42.384106, -83.004342)",Gratiot Woods
5351 Belvidere,19007791.,"Adamo Group, Inc.",$27445.00,11/13/2017,No,5,42.383445,-83.003875,"location
(42.383445, -83.003875)",Gratiot Woods
14394 Strathmoor,22037807.,Able Demolition,$12753.47,10/03/2017,No,1,42.393763,-83.187056,"location
(42.393763, -83.187056)",Hubbell-Lyndon
15819 Strathmoor,22038329.,Able Demolition,$13113.74,10/04/2017,No,1,42.407626,-83.188355,"location
(42.407626, -83.188355)",Bethune Community
15811 Strathmoor,22038330.,Able Demolition,$15447.95,10/04/2017,No,1,42.407516,-83.18835,"location
(42.407516, -83.18835)",Bethune Community
15803 Strathmoor,22038331.,Able Demolition,$13670.35,10/03/2017,No,1,42.407407,-83.188346,"location
(42.407407, -83.188346)",Bethune Community
15767 Strathmoor,22038334.,Able Demolition,$13034.05,10/04/2017,No,1,42.406932,-83.188326,"location
(42.406932, -83.188326)",Bethune Community
15439 Strathmoor,22038354.005,Able Demolition,$14508.65,10/03/2017,No,1,42.404326,-83.188201,"location
(42.404326, -83.188201)",Bethune Community
13002 Maiden,21006433.,"Adamo Group, Inc.",$13353.00,11/13/2017,No,4,42.405614,-82.974989,"location
(42.405614, -82.974989)",Outer Drive-Hayes
13400 Wilfred,21010864.,"Adamo Group, Inc.",$24000.00,11/13/2017,No,4,42.416964,-82.976778,"location
(42.416964, -82.976778)",Eden Gardens
13334 Wilfred,21010873.,"Adamo Group, Inc.",$11117.00,11/13/2017,No,4,42.416569,-82.977901,"location
(42.416569, -82.977901)",Eden Gardens
13026 Wilfred,21010893.,"Adamo Group, Inc.",$13867.00,11/13/2017,No,4,42.415539,-82.980831,"location
(42.415539, -82.980831)",Eden Gardens
12150 Asbury Park,22061211.,Able Demolition,$16165.05,10/11/2017,No,7,42.376798,-83.206947,"location
(42.376798, -83.206947)",Plymouth-I96
14460 Longview,21007482.,Homrich,$12561.00,11/26/2017,No,4,42.410975,-82.967367,"location
(42.410975, -82.967367)",Outer Drive-Hayes
13032 Longview,21007527.,"Adamo Group, Inc.",$27159.00,11/13/2017,No,4,42.408299,-82.976065,"location
(42.408299, -82.976065)",Outer Drive-Hayes
12564 Longview,21007561.,"Adamo Group, Inc.",$18860.00,11/13/2017,No,4,42.40661,-82.980954,"location
(42.40661, -82.980954)",Wade
9648 Decatur,22032318.,"Adamo Group, Inc.",$21706.00,11/13/2017,No,7,42.367895,-83.18001,"location
(42.367895, -83.18001)",Plymouth-Hubbell
9966 Decatur,22032330.,"Adamo Group, Inc.",$10249.00,11/13/2017,No,7,42.369274,-83.179916,"location
(42.369274, -83.179916)",Plymouth-Hubbell
9951 Decatur,22032337.,"Adamo Group, Inc.",$16477.00,11/13/2017,No,7,42.369043,-83.18064,"location
(42.369043, -83.18064)",Plymouth-Hubbell
12825 Jane,21011845.,"Adamo Group, Inc.",$14493.00,11/13/2017,No,4,42.417314,-82.983301,"location
(42.417314, -82.983301)",Eden Gardens
13001 Jane,21011849.,"Adamo Group, Inc.",$12149.00,11/13/2017,No,4,42.417541,-82.982635,"location
(42.417541, -82.982635)",Eden Gardens
13023 Jane,21011852.,"Adamo Group, Inc.",$19851.00,11/13/2017,No,4,42.417668,-82.98227,"location
(42.417668, -82.98227)",Eden Gardens
5432 Rohns,19009146.,"Adamo Group, Inc.",$13178.00,11/13/2017,No,5,42.383938,-83.006139,"location
(42.383938, -83.006139)",Gratiot Woods
12841 Promenade,21009083.,Homrich,$15482.00,11/26/2017,No,4,42.411356,-82.979043,"location
(42.411356, -82.979043)",Wade
13035 Promenade,21009088.,Homrich,$13514.00,11/26/2017,No,4,42.411648,-82.978198,"location
(42.411648, -82.978198)",Outer Drive-Hayes
13075 Promenade,21009093.,Homrich,$21699.00,11/26/2017,No,4,42.411875,-82.977544,"location
(42.411875, -82.977544)",Outer Drive-Hayes
13325 Promenade,21009107.,Homrich,$16363.00,11/26/2017,No,4,42.412579,-82.975521,"location
(42.412579, -82.975521)",Outer Drive-Hayes
13357 Promenade,21009111.,Homrich,$23233.00,11/26/2017,No,4,42.412756,-82.975012,"location
(42.412756, -82.975012)",Outer Drive-Hayes
13393 Promenade,21009116.,Homrich,$12360.00,11/26/2017,No,4,42.412972,-82.97439,"location
(42.412972, -82.97439)",Outer Drive-Hayes
