Address,Parcel ID,Contractor Name,Price,Demolition Date,Commercial Building,Council_District,Latitude,Longitude,Location,Neighborhood
19501 Bradford,21035221.,Farrow Group,$11029.55,11/26/2014,No,3,42.438278,-83.001497,"19501 Bradford
(42.438278, -83.001497)",Pulaski
19501 Tireman,22001293-4,"Adamo Group, Inc.",$15453.43,05/06/2015,No,7,42.350147,-83.232164,"19501 Tireman
(42.350147, -83.232164)",Warrendale
19503 Hamburg,21033962.,Rickman Enterprise Group,$14880.00,07/29/2015,No,3,42.438381,-82.997838,"19503 Hamburg
(42.438381, -82.997838)",Pulaski
19505 Faust,22078943.,Homrich,$13706.75,09/09/2014,No,1,42.435069,-83.224661,"19505 Faust
(42.435069, -83.224661)",O'Hair Park
19506 Rosemont,22076669.,ABC Demolition,$9433.33,10/19/2015,No,1,42.435138,-83.221598,"19506 Rosemont
(42.435138, -83.221598)",O'Hair Park
19510 Heyden,22099359-61,Rickman Enterprise Group,$13430.00,10/23/2015,No,1,42.434746,-83.240915,"19510 Heyden
(42.434746, -83.240915)",Evergreen Lahser 7/8
19510 Lyndon,22010448-9,Able Demolition,$8807.20,08/28/2014,No,1,42.393813,-83.233925,"19510 Lyndon
(42.393813, -83.233925)",Westwood Park
19510 Sawyer,22001020.,"Adamo Group, Inc.",$9164.00,09/14/2015,No,7,42.347059,-83.232167,"19510 Sawyer
(42.347059, -83.232167)",Warrendale
19511 Bradford,21035220.,Able Demolition,$8007.28,04/15/2016,No,3,42.438392,-83.001502,"19511 Bradford
(42.438392, -83.001502)",Pulaski
19512 Bradford,21035074.,Able Demolition,$13917.04,05/18/2016,No,3,42.438418,-83.000814,"19512 Bradford
(42.438418, -83.000814)",Pulaski
19515 Avon,22081649.,Brown Environmental Construction,$6830.00,07/01/2015,No,1,42.435159,-83.227091,"19515 Avon
(42.435159, -83.227091)",O'Hair Park
19516 Bentler,22110719.,Homrich,$11378.59,08/21/2014,No,1,42.434552,-83.253304,"19516 Bentler
(42.434552, -83.253304)",Evergreen Lahser 7/8
19517 Blackstone,22109247.,Homrich,$12959.15,08/25/2014,No,1,42.434593,-83.251582,"19517 Blackstone
(42.434593, -83.251582)",Evergreen Lahser 7/8
19517 Burgess,22112215.,Rickman Enterprise Group,$14920.00,10/23/2015,No,1,42.434481,-83.256414,"19517 Burgess
(42.434481, -83.256414)",Evergreen Lahser 7/8
19517 Stout,22101555-6,ABC Demolition,$11530.00,11/12/2014,No,1,42.434752,-83.243698,"19517 Stout
(42.434752, -83.243698)",Evergreen Lahser 7/8
19517 Westbrook,22109990.,"Adamo Group, Inc.",$10958.00,03/23/2016,No,1,42.434563,-83.25281,"19517 Westbrook
(42.434563, -83.25281)",Evergreen Lahser 7/8
19518 Joann,21030654.,Rickman Enterprise Group,$8470.00,04/05/2016,No,3,42.438769,-82.989814,"19518 Joann
(42.438769, -82.989814)",Pulaski
19519 Bradford,21035219.,Able Demolition,$8415.00,04/15/2016,No,3,42.438494,-83.001507,"19519 Bradford
(42.438494, -83.001507)",Pulaski
1952 Oakdale,20008008.,Homrich,$12330.00,05/25/2016,No,6,42.307075,-83.132999,"1952 Oakdale
(42.307075, -83.132999)",Springwells
19528 Bradford,21035076.,"Adamo Group, Inc.",$12582.00,08/06/2014,No,3,42.438637,-83.000823,"19528 Bradford
(42.438637, -83.000823)",Pulaski
19529 Strasburg,21034396.,DMC Consultants,$9850.00,05/13/2016,No,3,42.438681,-82.999093,"19529 Strasburg
(42.438681, -82.999093)",Pulaski
19536 Bradford,21035077.,"Adamo Group, Inc.",$14623.40,08/07/2014,No,3,42.438747,-83.000827,"19536 Bradford
(42.438747, -83.000827)",Pulaski
19536 Hoyt,21029289.,Brown Environmental Construction,$6059.00,03/23/2016,No,3,42.439314,-82.980148,"19536 Hoyt
(42.439314, -82.980148)",Franklin
19537 Dresden,21034870.,Farrow Group,$13829.55,12/01/2014,No,3,42.438756,-83.000296,"19537 Dresden
(42.438756, -83.000296)",Pulaski
19538 Fairport,21031202.,Farrow Group,$19509.00,12/02/2015,No,3,42.439029,-82.991002,"19538 Fairport
(42.439029, -82.991002)",Pulaski
1954 Clark,14010096.,Homrich,$10900.00,05/23/2014,No,6,42.321046,-83.096031,"1954 Clark
(42.321046, -83.096031)",Central Southwest
19544 Rowe,21035836.,Homrich,$11195.57,08/08/2014,No,3,42.438799,-83.003261,"19544 Rowe
(42.438799, -83.003261)",Pulaski
19549 Tireman,22001304-5,"Adamo Group, Inc.",$15178.69,02/12/2015,No,7,42.350134,-83.232996,"19549 Tireman
(42.350134, -83.232996)",Warrendale
1955 Halleck,09005591.,Able Demolition,$8342.60,05/10/2016,No,3,42.405604,-83.073563,"1955 Halleck
(42.405604, -83.073563)",Campau/Banglatown
1955 Highland,08003879.,DMC Consultants,$5304.00,07/01/2014,No,5,42.389956,-83.110087,"1955 Highland
(42.389956, -83.110087)",Dexter-Linwood
1955 Kendall,08004901-2,Homrich,$13030.00,06/28/2016,No,2,42.400036,-83.117011,"1955 Kendall
(42.400036, -83.117011)",Oakman Blvd Community
1955 Virginia Park,08001990.,Salenbien Trucking & Excavating Inc.,$19050.00,03/08/2016,No,5,42.369193,-83.096007,"1955 Virginia Park
(42.369193, -83.096007)",LaSalle Gardens
19552 Bradford,21035079.,Jenkins Construction,$13400.00,06/23/2015,No,3,42.438966,-83.000836,"19552 Bradford
(42.438966, -83.000836)",Pulaski
19552 Rowe,21035837.,Homrich,$5779.26,08/11/2014,No,3,42.438909,-83.003266,"19552 Rowe
(42.438909, -83.003266)",Pulaski
19553 Annott,21035607.,Able Demolition,$8075.93,04/15/2016,No,3,42.438918,-83.002767,"19553 Annott
(42.438918, -83.002767)",Pulaski
19553 Reno,21029385.,Able Demolition,$12282.11,11/12/2015,No,3,42.439428,-82.983199,"19553 Reno
(42.439428, -82.983199)",Franklin
1956 Richton,08003776.,Farrow Group,$13900.00,09/13/2016,No,5,42.38894,-83.109444,"1956 Richton
(42.38894, -83.109444)",Dexter-Linwood
19560 Dresden,21034741.,"Adamo Group, Inc.",$14411.35,08/14/2014,No,3,42.439113,-82.999623,"19560 Dresden
(42.439113, -82.999623)",Pulaski
19560 Rowe,21035838.,Homrich,$8815.33,08/11/2014,No,3,42.439018,-83.003271,"19560 Rowe
(42.439018, -83.003271)",Pulaski
19561 Annott,21035606.,Able Demolition,$8627.67,04/15/2016,No,3,42.439027,-83.002772,"19561 Annott
(42.439027, -83.002772)",Pulaski
19566 Bradford,21035081.,"Adamo Group, Inc.",$12986.51,08/18/2014,No,3,42.439186,-83.000845,"19566 Bradford
(42.439186, -83.000845)",Pulaski
19568 Annott,21035474.,"Adamo Group, Inc.",$11803.62,08/12/2014,No,3,42.439176,-83.002072,"19568 Annott
(42.439176, -83.002072)",Pulaski
19568 Rowe,21035839.,Homrich,$12703.58,08/08/2014,No,3,42.439128,-83.003275,"19568 Rowe
(42.439128, -83.003275)",Pulaski
19575 Joann,21030799.,Rickman Enterprise Group,$17640.00,07/16/2015,No,3,42.439541,-82.990511,"19575 Joann
(42.439541, -82.990511)",Pulaski
19576 Rowe,21035840.,Homrich,$9798.75,08/11/2014,No,3,42.439238,-83.00328,"19576 Rowe
(42.439238, -83.00328)",Pulaski
