date,district,latitude,longitude
05/09/2014,5,42.388902,-83.088364
03/30/2016,4,42.418062,-83.008385
08/09/2016,4,42.373978,-82.946594
10/01/2014,4,42.418044,-82.963618
05/14/2014,6,42.304532,-83.117883
05/22/2015,4,42.420983,-82.950617
09/15/2015,4,42.408326,-82.99637
06/18/2015,1,42.398102,-83.251259
02/02/2017,4,42.400495,-82.991347
06/18/2015,1,42.398094,-83.251554
04/23/2016,4,42.421723,-82.95089
07/25/2015,6,42.281324,-83.14917
07/15/2014,6,42.308336,-83.110654
06/25/2015,6,42.280671,-83.147728
05/18/2016,4,42.413633,-83.004061
08/15/2015,4,42.414056,-83.004343
07/22/2015,5,42.350847,-83.007935
04/22/2016,4,42.419098,-82.962395
12/17/2015,4,42.414096,-83.004226
11/25/2015,4,42.412958,-83.003416
02/18/2016,5,42.389291,-83.088604
10/30/2014,6,42.311352,-83.103231
07/31/2015,7,42.370391,-83.194952
11/20/2014,4,42.413464,-83.003443
09/16/2014,7,42.369677,-83.236605
01/23/2015,7,42.370208,-83.203802
06/11/2015,7,42.370009,-83.215913
06/10/2016,5,42.38561,-83.095708
08/05/2015,7,42.371279,-83.167707
05/11/2016,4,42.415934,-83.004842
09/17/2014,7,42.369794,-83.236607
07/30/2014,6,42.304955,-83.11738
04/05/2016,5,42.373787,-83.08764
07/29/2014,3,42.42688,-83.008688
03/02/2016,7,42.3705,-83.210399
06/11/2015,7,42.370444,-83.215924
06/30/2015,6,42.280836,-83.148339
12/15/2014,7,42.371397,-83.173931
01/17/2014,5,42.388254,-83.097608
01/14/2015,3,42.405238,-83.047038
10/14/2015,7,42.371262,-83.186108
02/03/2014,7,42.371502,-83.174626
08/30/2014,7,42.370276,-83.23463
06/04/2016,4,42.423202,-82.947585
05/19/2016,4,42.418396,-83.006253
04/09/2015,4,42.398556,-82.989099
02/10/2016,4,42.423322,-82.947495
03/02/2016,7,42.371018,-83.208005
10/07/2015,6,42.304713,-83.118014
10/08/2014,7,42.372194,-83.165364
02/24/2016,7,42.371341,-83.199556
08/05/2015,7,42.372335,-83.16774
07/11/2014,7,42.37135,-83.206269
06/11/2015,7,42.371263,-83.215944
09/21/2016,7,42.371409,-83.207511
07/29/2014,7,42.371535,-83.205071
09/12/2014,5,42.380686,-83.082862
12/17/2015,4,42.415245,-83.003858
10/05/2015,4,42.412178,-83.001911
05/06/2016,7,42.371455,-83.215949
12/29/2014,7,42.371601,-83.207518
05/20/2016,4,42.426208,-82.939866
06/09/2016,7,42.371809,-83.20078
09/30/2015,7,42.371436,-83.220784
05/07/2015,5,42.373724,-83.087815
10/05/2015,4,42.412277,-83.001633
09/30/2015,7,42.371549,-83.220786
08/16/2015,4,42.419016,-83.005804
09/17/2015,7,42.376126,-83.130236
01/29/2015,4,42.413079,-83.001941
08/16/2015,4,42.412674,-83.001627
02/20/2014,7,42.37291,-83.156063
07/22/2015,7,42.373058,-83.16539
06/17/2016,4,42.41312,-83.001824
11/17/2015,5,42.385178,-83.095727
04/12/2016,4,42.418738,-83.005364
07/08/2015,4,42.413243,-83.001473
07/22/2015,7,42.373282,-83.156717
08/28/2014,5,42.392409,-83.085615
07/08/2015,4,42.413285,-83.001356
04/26/2016,1,42.397987,-83.255635
07/02/2015,4,42.412885,-83.001026
10/12/2015,4,42.41257,-83.000806
05/28/2014,1,42.397254,-83.255729
07/06/2015,4,42.413409,-83.001005
07/06/2015,4,42.41303,-83.000617
07/06/2015,4,42.413449,-83.000888
06/09/2016,5,42.388631,-83.09812
08/15/2014,5,42.385923,-83.096362
07/02/2015,4,42.413491,-83.000771
07/22/2015,7,42.373396,-83.155646
07/11/2016,1,42.397968,-83.256342
07/02/2015,4,42.413532,-83.000654
05/06/2016,4,42.424602,-82.948679
08/27/2014,6,42.313146,-83.098044
07/18/2016,4,42.41937,-82.974286
11/25/2015,4,42.415123,-83.001316
12/10/2014,4,42.412519,-82.999585
05/14/2016,5,42.388158,-83.097874
03/22/2016,5,42.388582,-83.098253
08/14/2014,7,42.371404,-83.222478
06/08/2015,4,42.414851,-83.00058
02/21/2017,5,42.380749,-83.09253
05/20/2015,1,42.397188,-83.257193
05/20/2015,1,42.397089,-83.25719
04/30/2014,7,42.374568,-83.134828
07/23/2015,7,42.373757,-83.1561
09/04/2014,4,42.426925,-82.941966
05/20/2016,4,42.424333,-82.951694
09/30/2015,7,42.373832,-83.157183
06/03/2016,7,42.373837,-83.156747
11/10/2015,7,42.373542,-83.175229
03/15/2016,3,42.409005,-83.040017
02/08/2017,7,42.373928,-83.157187
07/15/2015,7,42.374635,-83.135552
06/22/2015,7,42.372482,-83.233449
07/28/2014,7,42.372706,-83.220837
08/18/2014,7,42.372415,-83.240358
12/17/2015,3,42.409087,-83.04002
06/27/2014,7,42.373783,-83.166603
08/06/2014,7,42.372731,-83.224968
08/12/2016,7,42.372592,-83.233452
05/21/2016,4,42.424519,-82.951551
12/16/2015,3,42.409169,-83.040021
09/10/2015,7,42.37404,-83.160381
03/23/2016,3,42.409252,-83.040023
06/10/2015,7,42.372994,-83.216024
07/24/2015,7,42.374275,-83.154594
09/03/2015,7,42.377153,-83.130411
08/07/2014,7,42.373853,-83.172238
09/24/2014,7,42.37276,-83.234169
06/10/2015,7,42.37309,-83.216028
08/07/2014,7,42.373954,-83.172241
09/29/2015,7,42.372902,-83.231063
11/11/2014,7,42.372859,-83.234173
08/10/2015,7,42.373921,-83.177666
04/16/2014,7,42.373331,-83.20811
07/29/2014,7,42.374328,-83.160392
07/06/2015,7,42.374391,-83.158301
11/11/2014,7,42.372921,-83.233465
06/06/2016,7,42.374155,-83.16783
09/08/2015,7,42.372952,-83.232265
09/30/2015,7,42.374452,-83.155044
07/17/2015,7,42.374444,-83.155689
02/07/2017,3,42.409473,-83.041204
10/29/2014,7,42.372855,-83.239657
08/30/2014,7,42.372914,-83.235385
03/23/2017,3,42.409508,-83.039513
12/16/2015,3,42.40952,-83.038846
05/14/2015,1,42.395927,-83.257146
11/11/2014,7,42.372968,-83.234176
05/16/2016,7,42.37303,-83.233469
05/07/2015,5,42.373225,-83.087864
07/17/2015,7,42.374621,-83.156131
09/24/2014,7,42.373086,-83.234181
09/23/2016,4,42.424734,-82.950571
11/08/2016,7,42.373659,-83.205686
02/08/2017,7,42.374671,-83.155088
07/07/2016,7,42.373203,-83.231756
09/22/2016,5,42.386695,-83.097233
07/06/2015,7,42.374716,-83.156135
02/13/2015,3,42.409767,-83.038854
07/24/2015,7,42.374732,-83.1557
05/13/2014,1,42.395697,-83.256141
12/08/2015,3,42.409803,-83.041214
07/23/2015,7,42.374813,-83.156138
07/17/2015,7,42.374775,-83.158314
08/05/2015,7,42.374472,-83.168549
05/30/2014,1,42.395604,-83.256137
03/27/2017,1,42.395525,-83.257128
02/06/2015,7,42.376334,-83.13381
05/18/2015,7,42.373326,-83.239672
07/06/2016,7,42.373464,-83.231086
08/09/2014,7,42.373254,-83.245831
02/08/2017,7,42.374984,-83.157226
02/25/2015,7,42.373456,-83.237205
03/23/2016,4,42.427536,-82.94367
03/24/2016,4,42.401937,-82.98986
12/11/2014,7,42.373444,-83.239675
09/23/2015,7,42.373576,-83.23109
11/03/2015,7,42.373555,-83.234197
01/12/2015,4,42.400798,-82.989025
05/20/2015,1,42.395293,-83.257127
12/29/2014,7,42.37415,-83.200381
06/19/2015,7,42.373657,-83.231772
01/28/2016,6,42.335774,-83.101971
08/03/2015,7,42.37412,-83.206856
09/25/2014,7,42.373556,-83.235886
06/25/2016,3,42.410131,-83.041225
05/02/2014,7,42.373971,-83.214167
05/05/2016,7,42.374923,-83.167857
09/29/2014,7,42.373694,-83.236687
02/03/2016,5,42.374153,-83.018796
06/25/2016,3,42.410295,-83.038869
08/14/2014,7,42.373681,-83.239682
05/16/2016,7,42.373758,-83.234204
06/02/2014,1,42.395111,-83.256135
07/22/2015,7,42.375258,-83.157885
09/17/2015,7,42.374036,-83.221395
05/09/2016,4,42.423875,-82.953468
05/27/2016,4,42.421258,-82.962127
06/22/2015,7,42.373823,-83.235415
06/19/2015,7,42.373882,-83.23178
02/26/2015,7,42.373802,-83.237218
07/17/2015,7,42.375351,-83.158334
09/12/2016,7,42.375367,-83.15724
01/25/2016,7,42.373504,-83.26496
07/28/2014,7,42.374128,-83.220903
10/28/2014,7,42.374596,-83.193576
07/31/2015,7,42.374245,-83.214857
07/13/2016,7,42.3739,-83.240401
09/26/2014,7,42.373913,-83.2359
02/25/2015,7,42.373994,-83.231785
01/07/2015,7,42.37517,-83.172285
06/30/2016,7,42.374292,-83.217773
08/17/2016,7,42.373502,-83.244613
08/15/2014,5,42.385339,-83.096452
03/24/2017,1,42.394434,-83.257087
07/17/2015,7,42.37575,-83.153983
03/24/2017,1,42.394338,-83.257083
07/08/2015,4,42.410529,-82.99511
07/08/2015,4,42.410576,-82.994976
08/17/2015,4,42.402491,-82.988247
08/29/2014,7,42.374244,-83.244632
