latitude,longitude
42.357398,-83.24458
42.419946,-83.005218
42.448573,-83.009978
42.299681,-83.120396
42.409373,-83.179121
42.36861,-83.197388
42.389528,-83.198243
42.365151,-83.087123
42.407401,-82.926182
42.316914,-83.124187
42.42952,-83.241297
42.406059,-83.231688
42.369685,-83.071062
42.434658,-82.995065
42.337181,-83.047071
42.329861,-83.064642
42.328041,-83.0465
42.307756,-83.10074
42.420753,-82.966829
42.320724,-83.103932
42.308251,-83.124915
42.373279,-83.169668
42.333212,-83.041421
42.335272,-83.04968
42.366357,-83.150116
42.430587,-83.194229
42.392568,-83.123193
42.440732,-82.973929
42.321103,-83.104203
42.331173,-83.049047
42.420786,-82.964004
42.310297,-83.10612
42.44885,-82.96857
42.331368,-83.076044
42.362692,-83.003645
42.318651,-83.099777
42.429276,-83.251678
42.352099,-83.061045
42.443279,-83.257767
42.419868,-83.0042
42.321571,-83.071413
42.360203,-83.065798
42.335346,-83.136407
42.400224,-83.265187
42.439622,-83.039141
42.44498,-83.190805
42.359732,-83.068763
42.35396,-83.062447
42.407363,-82.926288
42.358198,-83.177459
42.364847,-82.975073
42.42042,-83.002646
42.331869,-83.03947
42.440415,-82.985328
42.372441,-83.063477
42.331395,-83.071198
42.304783,-83.116002
42.38915,-83.198227
42.397377,-83.017493
42.42645,-82.98337
42.379997,-83.139347
42.349958,-83.063214
42.389414,-82.996489
42.324698,-83.050361
42.379322,-83.060073
42.365966,-82.994964
42.370056,-83.117562
42.331384,-83.043867
42.334586,-83.049147
42.394285,-83.178768
42.367564,-83.080219
42.446914,-83.104997
42.40233,-83.166021
42.444282,-83.215269
42.343284,-83.224098
42.442744,-83.024537
42.43984,-82.974521
42.42107,-83.141112
42.445748,-83.156262
42.415332,-83.230161
42.438741,-83.077869
42.435537,-83.141533
42.331083,-83.134311
42.331779,-83.050788
42.398709,-82.919369
42.402413,-82.9398
42.334283,-83.046936
42.384075,-82.992244
42.343177,-83.231211
42.393708,-83.004804
42.436758,-83.118126
42.388205,-82.942286
42.336504,-83.046214
42.417092,-82.935241
42.32706,-83.053891
42.330107,-83.041497
42.331118,-83.124886
42.408647,-83.205276
42.342751,-83.064384
42.325333,-83.078329
42.386718,-83.214284
42.422498,-82.974909
42.447172,-83.071285
42.35044,-83.059931
42.418497,-82.932987
42.352026,-83.067024
42.38696,-83.201225
42.449171,-82.98901
42.352103,-83.032305
42.365068,-83.011193
42.372799,-83.187952
42.389445,-83.017595
42.335491,-83.091982
42.360873,-83.135311
42.331081,-83.136964
42.381059,-83.113796
42.426265,-83.038635
42.388175,-83.275997
42.444348,-83.180962
42.434455,-83.141679
42.344662,-83.060191
42.433647,-83.040672
42.362515,-83.123635
42.305967,-83.11098
42.330705,-83.14256
42.336145,-83.049042
42.401534,-83.196993
42.361746,-83.121734
42.312962,-83.123517
42.432923,-83.074255
42.40873,-83.199461
42.36512,-83.023726
42.335265,-83.041671
42.42478,-83.160731
42.443309,-83.256359
42.380706,-83.168736
42.41806,-82.933712
42.441734,-83.141756
42.410583,-83.004824
42.358915,-83.065703
42.311097,-83.113136
42.324823,-83.061007
42.369528,-83.07551
42.323634,-83.087267
42.312987,-83.123458
42.417702,-83.109416
42.419092,-83.063895
42.442095,-83.258798
42.333844,-83.042493
42.379518,-82.945771
42.341813,-83.255103
42.316902,-83.123855
42.386868,-83.206067
42.326032,-83.121578
42.316923,-83.124888
42.44818,-83.023922
42.350914,-83.041557
42.445281,-83.175798
42.415164,-83.238969
42.377221,-83.122434
42.387041,-83.19734
42.338655,-83.05678
42.378664,-82.979612
42.395281,-83.109627
42.432445,-83.141617
42.414129,-83.251701
42.418604,-83.075578
42.390562,-83.128574
42.365778,-83.177265
42.428968,-82.957358
42.354109,-83.079892
42.334822,-83.055092
42.34798,-83.056918
42.414025,-82.999152
42.365857,-83.131904
42.423586,-82.943782
42.362104,-83.070157
42.339833,-83.196132
42.401704,-83.191702
42.33473,-83.049254
42.335578,-83.044501
42.439616,-83.098505
42.416287,-83.257143
