date,district,latitude,longitude
10/25/2017,4,42.406846,-82.987018
11/13/2017,4,42.412214,-82.987571
11/13/2017,4,42.412168,-82.987705
11/13/2017,4,42.410994,-82.991038
10/29/2017,2,42.399513,-83.18039
10/29/2017,2,42.399417,-83.180386
11/13/2017,7,42.369599,-83.178698
11/13/2017,7,42.367824,-83.179268
11/13/2017,7,42.367626,-83.179261
10/24/2017,7,42.377438,-83.20461
10/24/2017,7,42.373857,-83.205178
10/25/2017,4,42.407623,-82.988146
11/13/2017,7,42.397717,-83.160817
10/25/2017,7,42.364629,-83.198592
11/13/2017,4,42.404751,-82.97486
11/06/2017,4,42.404131,-82.97666
11/13/2017,4,42.400881,-82.986151
11/06/2017,4,42.400067,-82.988499
11/13/2017,7,42.373645,-83.175233
11/06/2017,4,42.403309,-82.985854
11/13/2017,7,42.375408,-83.199724
11/13/2017,7,42.375589,-83.200437
11/13/2017,4,42.418252,-82.97558
11/13/2017,4,42.417935,-82.976525
11/13/2017,4,42.417888,-82.976661
11/13/2017,4,42.417844,-82.976786
11/13/2017,4,42.417802,-82.976903
11/13/2017,4,42.417634,-82.977381
11/13/2017,4,42.417196,-82.978625
11/13/2017,4,42.417103,-82.978888
11/13/2017,5,42.382862,-83.003464
11/13/2017,5,42.382298,-83.003065
11/13/2017,5,42.382152,-83.002962
11/13/2017,5,42.381058,-83.002189
11/26/2017,5,42.378885,-83.000676
11/26/2017,5,42.377562,-82.999748
11/26/2017,5,42.376444,-82.998931
11/13/2017,7,42.373196,-83.20156
11/13/2017,4,42.418186,-82.983581
11/13/2017,4,42.415138,-82.980901
12/11/2017,3,42.410791,-83.018117
11/06/2017,4,42.403525,-82.988408
11/06/2017,4,42.40498,-82.984185
11/13/2017,4,42.407827,-82.975931
11/13/2017,4,42.407919,-82.975662
11/13/2017,4,42.409345,-82.971487
11/13/2017,4,42.410056,-82.969413
11/13/2017,4,42.410195,-82.96901
11/13/2017,7,42.373584,-83.200357
11/13/2017,7,42.37349,-83.200353
12/19/2017,1,42.396542,-83.189969
12/19/2017,1,42.396159,-83.189952
12/19/2017,1,42.395871,-83.18994
11/13/2017,4,42.379765,-82.997478
09/26/2017,1,42.384064,-83.19207
11/13/2017,4,42.396312,-82.984907
11/13/2017,4,42.39559,-82.985129
11/13/2017,4,42.395947,-82.98339
11/13/2017,4,42.403232,-82.974278
11/13/2017,4,42.412511,-82.983384
11/13/2017,4,42.412463,-82.983518
12/19/2017,4,42.387967,-82.963708
11/13/2017,4,42.412343,-82.985832
11/13/2017,4,42.412511,-82.985349
11/19/2017,1,42.389399,-83.184697
